Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Alabama,Montgomery,01,500,72422.56,0.93987,222.25,9317.47,0.86702,1817.83,13634.57,0.89058,592.5,9121.91,1.00886,10073
2021,Alabama,Morgan,01,510,68644.9,0.98095,83.58,9871.29,0.93267,1471.33,14619.13,0.90789,692.75,9684.5,1.04973,9217.83
2021,Alabama,Perry,01,520,69339.37,0.9694,17.33,8064.69,0.83409,206.42,11396.77,0.90581,175.92,9490.16,1.16126,367.92
2021,Alabama,Pickens,01,530,59452.28,0.93695,33.83,8907.85,0.87592,487.08,13488.8,0.92531,257.08,11486.78,1.11501,1384.33
2021,Alabama,Pike,01,540,57011.43,0.96451,32.42,9485.29,0.85477,344,16120.37,0.90399,208.42,9719.8,0.99564,1377.5
2021,Alabama,Randolph,01,550,115282.85,0.94686,17.08,9231.76,0.92889,451.08,14013.97,0.88985,231.08,9698.03,0.94306,1845.58
2021,Alabama,Russell,01,560,67890.37,0.9234,77.83,8891.95,0.80244,771.42,15323.61,0.95002,286,9293.7,1.10527,3217.58
2021,Alabama,"St. Clair",01,570,65159.29,0.91828,41.5,10728,0.98429,716.5,18870.57,1.08593,156.08,10818.39,1.13801,4282.67
2021,Alabama,Shelby,01,580,76331.05,0.96728,73.17,10720.77,0.99657,1098.92,19545.05,1.00435,255.58,11049.48,1.03137,11185.92
2021,Alabama,Sumter,01,590,76310.47,0.96454,19.75,9597.69,0.87988,322.83,12798.67,0.83504,206.42,8640.07,0.9209,632.42
2021,Alabama,Talladega,01,600,81497.01,0.96911,76.5,8881.49,0.94842,1138.42,16563.86,0.91265,366.5,10812.22,1.11568,4412.33
2021,Alabama,Tallapoosa,01,610,77088.77,0.9594,41.08,8555.63,0.85457,629.42,18089.61,0.92438,240.08,10289.44,1.09841,3045.17
2021,Alabama,Tuscaloosa,01,620,74396.6,0.97389,141.5,9555.01,0.91639,2541.42,14735.89,0.98832,884.08,10091.78,1.08595,9248.33
2021,Alabama,Walker,01,630,87979.29,0.97225,25.92,10215.28,0.8222,974.67,15380.94,1.0093,315.83,10846.54,1.10838,3815.67
2021,Alabama,Washington,01,640,73502.33,0.9327,17.83,8599.19,0.86752,350,14145.43,0.80723,185.67,10260.61,1.05203,1204.25
2021,Alabama,Wilcox,01,650,64001.27,0.94875,27.75,8139.32,0.7112,391.5,9165.54,0.78684,229.5,9376.81,0.99143,636
2021,Alabama,Winston,01,660,79460.08,0.91229,16.92,9471.49,0.93766,402.58,17841.14,0.95086,285.92,10631.34,1.04898,1813.33
2021,Alaska,"Aleutians East",02,013,.,.,.,*,*,*,19927.66,0.89304,13.08,16373.46,0.93925,51.67
2021,Alaska,"Aleutians West",02,016,.,.,.,*,*,*,26291.51,0.81289,19.75,8419.33,0.81439,54.58
2021,Alaska,Anchorage,02,020,83904.48,0.99791,204.67,15040.14,1.06736,2723.83,14670.18,0.90444,3070.5,10007.53,0.84995,16539.5
2021,Alaska,Bethel,02,050,.,.,.,12652.43,0.62071,49.33,14969.76,0.64786,232.83,12427.57,0.81056,257.5
2021,Alaska,"Bristol Bay",02,060,*,*,*,*,*,*,*,*,*,10350.43,0.87765,76.08
2021,Alaska,Denali,02,068,*,*,*,5775.4,0.49251,9.17,*,*,*,6328.88,0.68151,156.58
2021,Alaska,Dillingham,02,070,*,*,*,15064.65,0.79351,33.75,26938.85,0.66306,83.33,16382.23,0.74205,136.33
2021,Alaska,"Fairbanks North Star",02,090,83356.34,0.96533,48.75,9783.84,0.87751,867.42,13550.3,0.84576,644.92,8489.88,0.78085,6252.58
2021,Alaska,Haines,02,100,.,.,.,12316.96,0.75668,30,19274.88,0.75588,48.83,13748.93,0.83588,299.42
2021,Alaska,Juneau,02,110,95927.05,0.93381,16.42,16516.32,0.90336,310.5,22332.13,0.88471,321.5,9206.62,0.7461,2837.5
2021,Alaska,"Kenai Peninsula",02,122,108761.65,0.90368,27.67,15606.61,0.9988,731.25,21523.43,0.9526,773.58,12001.65,0.82333,6114.25
2021,Alaska,"Ketchikan Gateway",02,130,*,*,*,14131.2,1.02367,172.83,20262.39,0.90867,197.83,12559.77,0.89135,1218.08
2021,Alaska,"Kodiak Island",02,150,*,*,*,17922.74,0.88193,101.25,16448.39,0.76111,176.75,10578.52,0.7183,913.17
2021,Alaska,"Lake and Peninsula",02,164,.,.,.,*,*,*,18728.33,0.71794,33.58,11100.35,0.72128,43.83
2021,Alaska,Matanuska-Susitna,02,170,80821.28,1.01467,37.67,12844.05,0.9425,1184.17,16745.17,0.95723,950,10794.97,0.86115,7184.58
2021,Alaska,Nome,02,180,.,.,.,26255.81,1.18246,67.08,29442.14,0.77649,156.42,18069.22,0.86983,217.33
2021,Alaska,"North Slope",02,185,*,*,*,32028.37,0.98852,31.92,33844.77,0.76231,62.42,28501.02,0.93411,209.17
2021,Alaska,"Northwest Arctic",02,188,*,*,*,27291.22,0.94091,38.75,25990.33,0.86649,91.92,18697.95,0.89158,116.42
2021,Alaska,Sitka,02,220,*,*,*,22616.35,1.01144,98.25,17707.82,0.86894,111.5,14885.69,0.82876,916.83
2021,Alaska,"Southeast Fairbanks",02,240,*,*,*,7542.54,0.70231,68.5,11905.5,0.64848,111.67,9588.48,0.75617,548.58
2021,Alaska,Yakutat,02,282,.,.,.,*,*,*,*,*,*,9340.17,1.15774,39.17
