Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Alaska,Bethel,2,50,*,*,*,9427.25,0.94245,77.92,16521.79,0.58982,294.25,10092.01,0.79222,284.33
2016,Alaska,"Bristol Bay",2,60,.,.,.,*,*,*,*,*,*,10662.92,0.90206,54.67
2016,Alaska,Denali,2,68,*,*,*,7461.32,0.80488,18.58,*,*,*,7357.6,0.75489,104.92
2016,Alaska,Dillingham,2,70,.,.,.,14767.7,1.11246,44.33,19159.5,0.64666,100.08,9012.49,0.84268,120.17
2016,Alaska,"Fairbanks North Star",2,90,88084.94,0.92339,34.75,9369.65,0.88132,928.75,12190.74,0.83826,507.42,8199.82,0.78455,4857.5
2016,Alaska,Haines,2,100,.,.,.,17444.69,1.00703,31.83,24459.33,1.01748,39.08,8548.27,0.77125,274.17
2016,Alaska,Juneau,2,110,90522.62,0.99231,11.83,13225.19,0.94025,379.17,15901.89,0.87095,268.92,7984.57,0.74429,2245.17
2016,Alaska,"Kenai Peninsula",2,122,94701.8,0.9795,31.92,13631.25,0.98319,910.75,20734.37,0.96811,586.08,10789.14,0.84287,4788.75
2016,Alaska,"Ketchikan Gateway",2,130,*,*,*,14123.61,0.87219,208.25,21133.44,0.88957,155.67,11170.25,0.91507,1047.75
2016,Alaska,"Kodiak Island",2,150,*,*,*,12161.87,0.79726,109.08,12289.31,0.73249,127.42,9157.01,0.79729,723.08
2016,Alaska,"Lake and Peninsula",2,164,.,.,.,5547.21,0.68941,12.67,19085.03,0.6777,31.58,9872.33,0.95467,46.33
2016,Alaska,Matanuska-Susitna,2,170,89600.95,0.94002,26.67,12797.5,0.99555,1245.75,17608.87,0.94153,707.92,9409.71,0.88256,5317.17
2016,Alaska,Nome,2,180,.,.,.,17151.04,0.93107,59.83,24653.52,0.7106,134.75,20032.2,1.00481,195.83
2016,Alaska,"North Slope",2,185,*,*,*,21307.28,1.0172,17.67,15811.24,0.70082,10.08,27034.35,1.2294,94.17
